StudentID,StudentName,Grade,CourseDetails
81730,Frank Wilson,81.3,Computer Science 104
64414,Diana Moore,79.4,Physics 104
79265,Judy Brown,66.64,Art 102
19172,Alice Taylor,80.6,Biology 104
90072,Alice Williams,65.21,History 104
99095,Charlie Williams,67.01,Computer Science 103
17928,Alice Davis,74.5,Math 101
72405,Judy Jones,53.07,Biology 101
75786,Charlie Brown,81.41,Literature 103
88438,Eve Anderson,89.78,Physics 102
22164,Alice Anderson,72.16,Art 101
63949,Alice Williams,75.47,Math 104
63736,Frank Smith,88.5,Math 104
84447,Grace Moore,82.38,Literature 104
60104,Judy Smith,83.05,Art 104
96918,Diana Wilson,58.24,Art 103
14055,Judy Moore,68.95,Computer Science 101
44186,Bob Wilson,63.97,Math 102
24019,Grace Davis,52.98,Art 103
91051,Charlie Wilson,81.24,Math 103
19377,Heidi Taylor,79.54,Literature 103
58368,Eve Wilson,85.75,Math 101
28439,Alice Davis,53.93,Chemistry 103
14870,Judy Davis,95.38,Math 101
67258,Judy Miller,74.25,Physics 104
81491,Charlie Jones,63.94,Biology 101
24443,Charlie Brown,72.89,History 101
60667,Eve Moore,68.74,History 103
47222,Diana Smith,77.58,Biology 103
87985,Diana Wilson,66.77,History 102
44278,Eve Williams,88.08,Physics 103
29498,Judy Davis,64.73,Art 101
35722,Frank Smith,86.21,Chemistry 103
21533,Frank Anderson,64.03,History 102
82177,Alice Williams,61.99,Chemistry 102
53844,Frank Smith,85.94,Literature 103
31212,Judy Smith,79.09,History 103
62129,Diana Miller,86.69,Art 104
52763,Judy Williams,77.0,Biology 101
75246,Eve Taylor,58.31,Biology 103
62707,Frank Davis,61.12,Physics 103
62969,Grace Moore,61.88,History 103
81786,Heidi Davis,52.09,History 101
67653,Frank Smith,60.06,Physics 101
45412,Grace Miller,66.5,Physics 101
43830,Eve Davis,76.69,Chemistry 102
60208,Frank Anderson,58.39,Literature 103
55403,Heidi Miller,71.23,Math 102
12020,Heidi Brown,83.41,Math 101
59797,Bob Smith,65.15,History 102
61327,Charlie Smith,56.54,Art 104
87171,Ivan Miller,68.35,Physics 102
77096,Eve Wilson,57.17,Math 103
50838,Eve Taylor,80.53,Biology 101
36785,Frank Davis,70.07,Computer Science 103
16780,Diana Williams,64.82,Physics 103
10372,Charlie Davis,99.5,Literature 101
81839,Charlie Moore,83.95,Math 102
97046,Alice Jones,68.56,Art 101
49058,Judy Moore,81.91,Math 101
93249,Charlie Miller,59.15,Computer Science 102
99990,Eve Williams,52.64,History 102
13603,Bob Moore,79.49,Math 101
26290,Bob Jones,71.5,Math 102
41471,Alice Jones,89.56,Art 102
99870,Grace Anderson,79.0,Computer Science 103
32414,Charlie Jones,61.76,Art 102
33514,Alice Williams,50.32,Physics 103
31489,Diana Moore,79.93,Literature 104
61673,Bob Davis,54.3,Literature 101
61545,Charlie Williams,57.06,Computer Science 102
23576,Alice Jones,78.28,Art 103
98021,Diana Williams,64.7,Art 103
50909,Ivan Jones,90.11,Art 104
38869,Alice Wilson,61.07,Art 104
39358,Frank Moore,55.7,Literature 101
96926,Grace Williams,74.8,Literature 101
95989,Charlie Davis,88.32,Chemistry 101
25036,Ivan Moore,50.95,Art 104
77574,Heidi Taylor,74.24,Chemistry 103
88636,Frank Jones,73.46,Computer Science 102
78145,Grace Wilson,87.11,Math 103
98102,Grace Davis,79.13,Literature 104
52517,Eve Miller,71.65,Biology 103
28388,Alice Davis,96.0,Art 104
86191,Diana Brown,56.9,Physics 104
88959,Frank Anderson,86.24,Computer Science 101
64848,Diana Davis,91.23,Art 104
54145,Eve Jones,82.26,Biology 101
61150,Heidi Jones,68.82,Physics 104
51554,Frank Miller,99.55,Math 101
10829,Ivan Jones,61.65,Computer Science 102
39980,Heidi Williams,77.97,Physics 102
58947,Judy Smith,54.78,Math 101
55817,Bob Williams,61.74,Biology 102
73996,Eve Moore,54.37,Physics 101
83927,Charlie Taylor,71.66,Computer Science 102
60019,Bob Miller,72.98,Chemistry 102
80638,Judy Williams,74.1,Biology 103
86166,Ivan Davis,71.83,Chemistry 102
