RollNumber,Name,Marks,Course
24870,Aditya Gupta,93.18,HUM-101
40158,Vihaan Singh,42.37,MTH-301
86699,Vihaan Das,56.64,HUM-101
26378,Arjun Joshi,89.86,CSE-101
13742,Arjun Gupta,73.21,MTH-301
77884,Krishna Das,58.63,PHY-101
47615,Sai Singh,76.09,MTH-301
99298,Ayaan Das,41.08,MTH-301
56970,Krishna Verma,49.56,ECE-201
82648,Vivaan Reddy,66.13,CSE-101
77901,Vivaan Sharma,36.56,ECE-201
80028,Aditya Singh,94.29,ECE-201
10140,Ayaan Patel,45.31,HUM-101
15412,Vihaan Malhotra,74.39,HUM-101
57997,Arjun Kumar,57.72,HUM-101
65449,Ayaan Malhotra,40.35,ECE-201
94126,Ishaan Das,55.02,PHY-101
85317,Ishaan Kumar,68.02,ECE-201
38749,Ishaan Das,77.48,MTH-301
44804,Sai Das,72.66,CSE-101
17447,Arjun Malhotra,96.27,HUM-101
86750,Shaurya Malhotra,68.56,MTH-301
55305,Vihaan Singh,90.24,MTH-301
97501,Sai Verma,40.93,PHY-101
46809,Vihaan Reddy,74.4,MTH-301
37330,Sai Reddy,62.77,ECE-201
42295,Ayaan Patel,58.18,PHY-101
86045,Sai Singh,78.31,PHY-101
60895,Ishaan Kumar,73.42,ECE-201
25790,Arjun Malhotra,70.38,ECE-201
23036,Vivaan Gupta,41.1,MTH-301
51285,Sai Gupta,49.39,MTH-301
30573,Arjun Singh,45.94,CSE-101
50117,Shaurya Malhotra,69.78,CSE-101
93074,Shaurya Sharma,78.63,HUM-101
13007,Ishaan Malhotra,52.19,MTH-301
17579,Ishaan Das,71.97,PHY-101
70242,Vivaan Kumar,85.09,ECE-201
98538,Ishaan Singh,87.14,MTH-301
15004,Aarav Malhotra,38.85,PHY-101
42393,Shaurya Patel,70.79,HUM-101
91830,Aarav Patel,53.96,MTH-301
14832,Shaurya Malhotra,62.57,ECE-201
70680,Ayaan Kumar,56.07,CSE-101
62799,Arjun Malhotra,68.35,ECE-201
65007,Reyansh Malhotra,96.27,ECE-201
72442,Krishna Sharma,52.55,CSE-101
10809,Vihaan Joshi,57.99,PHY-101
